stateName,isoA2,value
Alabama,US-AL,"4,833,722"
Alaska,US-AK,"735,132"
American Samoa,US-AS,"6,626,624"
Arizona,US-AZ,"2,959,373"
Arkansas,US-AR,"38,332,521"
California,US-CA,"5,268,367"
Colorado,US-CO,"3,596,080"
Connecticut,US-CT,"925,749"
Delaware,US-DE,"646,449"
District of Columbia,US-DC,"19,552,860"
Florida,US-FL,"9,992,167"
Georgia,US-GA,"6,626,624"
Guam,US-GU,
Hawaii,US-HI,"1,404,054"
Idaho,US-ID,"1,612,136"
Illinois,US-IL,"12,882,135"
Indiana,US-IN,"6,570,902"
Iowa,US-IA,"3,090,416"
Kansas,US-KS,"2,893,957"
Kentucky,US-KY,"4,395,295"
Louisiana,US-LA,"4,625,470"
Maine,US-ME,"1,328,302"
Maryland,US-MD,"5,928,814"
Massachusetts,US-MA,"6,692,824"
Michigan,US-MI,"9,895,622"
Minnesota,US-MN,"5,420,380"
Mississippi,US-MS,"2,991,207"
Missouri,US-MO,"6,044,171"
Montana,US-MT,"1,015,165"
Nebraska,US-NE,"1,868,516"
Nevada,US-NV,"2,790,136"
New Hampshire,US-NH,"1,323,459"
New Jersey,US-NJ,"8,899,339"
New Mexico,US-NM,"2,085,287"
New York,US-NY,"19,651,127"
North Carolina,US-NC,"9,848,060"
North Dakota,US-ND,"723,393"
Northern Mariana Islands,US-MP,
Ohio,US-OH,"11,570,808"
Oklahoma,US-OK,"3,850,568"
Oregon,US-OR,"3,930,065"
Pennsylvania,US-PA,"12,773,801"
Puerto Rico,US-PR,
Rhode Island,US-RI,"1,051,511"
South Carolina,US-SC,"4,774,839"
South Dakota,US-SD,"844,877"
Tennessee,US-TN,"6,495,978"
Texas,US-TX,"26,448,193"
United States Minor Outlying Islands,US-UM,
Utah,US-UT,"2,900,872"
Vermont,US-VT,"626,630"
"Virgin Islands, U.S.",US-VI,
Virginia,US-VA,"8,260,405"
Washington,US-WA,"6,971,406"
West Virginia,US-WV,"1,854,304"
Wisconsin,US-WI,"5,742,713"
Wyoming,US-WY,"582,658"
