stateName,isoA2,value
Alabama,US-AL,"209,382"
Alaska,US-AK,"54,256"
American Samoa,US-AS,
Arizona,US-AZ,"298,204"
Arkansas,US-AR,"123,424"
California,US-CA,"2,448,467"
Colorado,US-CO,"318,600"
Connecticut,US-CT,"262,212"
Delaware,US-DE,"66,150"
District of Columbia,US-DC,"122,936"
Florida,US-FL,"893,189"
Georgia,US-GA,"501,241"
Guam,US-GU,
Hawaii,US-HI,"79,595"
Idaho,US-ID,"65,202"
Illinois,US-IL,"771,896"
Indiana,US-IN,"331,126"
Iowa,US-IA,"171,532"
Kansas,US-KS,"149,090"
Kentucky,US-KY,"194,578"
Louisiana,US-LA,"253,517"
Maine,US-ME,"55,137"
Maryland,US-MD,"365,209"
Massachusetts,US-MA,"478,941"
Michigan,US-MI,"468,029"
Minnesota,US-MN,"334,780"
Mississippi,US-MS,"106,880"
Missouri,US-MO,"290,713"
Montana,US-MT,"45,799"
Nebraska,US-NE,"112,208"
Nevada,US-NV,"141,204"
New Hampshire,US-NH,"71,632"
New Jersey,US-NJ,"579,379"
New Mexico,US-NM,"90,810"
New York,US-NY,"1,455,568"
North Carolina,US-NC,"509,718"
North Dakota,US-ND,"53,686"
Northern Mariana Islands,US-MP,
Ohio,US-OH,"599,093"
Oklahoma,US-OK,"179,835"
Oregon,US-OR,"228,120"
Pennsylvania,US-PA,"684,313"
Puerto Rico,US-PR,
Rhode Island,US-RI,"56,323"
South Carolina,US-SC,"199,256"
South Dakota,US-SD,"45,415"
Tennessee,US-TN,"310,276"
Texas,US-TX,"1,639,375"
United States Minor Outlying Islands,US-UM,
Utah,US-UT,"148,225"
Vermont,US-VT,"29,750"
"Virgin Islands, U.S.",US-VI,
Virginia,US-VA,"480,876"
Washington,US-WA,"449,404"
West Virginia,US-WV,"71,123"
Wisconsin,US-WI,"300,699"
Wyoming,US-WY,"40,170"
